Title,API Title,Authors,Publisher,Published Date,Description,Page Count,Print Type,Categories,Average Rating,Ratings Count,Language
What Should Danny Do? School Day (The Power to Choose Series),What Should Danny Do?,['David Russell'],Independently Published,2024-12-29,,0.0,BOOK,['Juvenile Nonfiction'],,,en
"The St. Patrick's Day Alphabet: A Fun Celebration of the Irish Holiday and a Leprechaun Hunt for Kids Ages 3 through 6 (Holiday ABCs, 1)",The St. Patrick's Day Alphabet,['Liz Saunders'],"Sourcebooks, Inc.",2024-12-03,"Celebrate St. Patrick's Day with this fun introduction for kids ages 3 to 6. St. Patrick's Day is associated with leprechauns, shamrocks, and pots of gold, but there is so much more to this Irish holiday. What luck, then, that the St. Patrick's Day Alphabet is here to teach kids the history, traditions, and customs of the holiday in an engaging ABC format. It also includes a leprechaun hunt: Kids will love searching for these sneaky little fairies hiding throughout the book.",34.0,BOOK,['Juvenile Nonfiction'],,,en
The Easter Storybook: 40 Bible Stories Showing Who Jesus Is,The Easter Storybook,['Laura Richie'],David C Cook,2020-01-01,"Starting with Jesus’ time in the temple as a boy and ending with His appearances after the resurrection, The Easter Storybook invites readers into the big picture of God’s love. Each of the 40 full-color, beautifully illustrated stories includes a Bible passage and a conversational question to guide families through the Easter season together. Unlike other children’s Easter books, The Easter Storybook focuses not just on Jesus’ last days but on the journey of His whole life leading to the joy of Easter morning. Every story will give children a glimpse into Jesus’ identity—as Teacher, Good Shepherd, Savior, and King—making this a rich book to read throughout the year. The Easter Storybook explains who Jesus is, what He did, and why His death and resurrection matter, in a simple way that children ages 4–8 can understand and remember. As a fitting companion to the bestselling The Advent Storybook, this book is a wonderful way to discover as a family why Jesus came to earth as Rescuer, Redeemer, and Friend.",96.0,BOOK,['Juvenile Nonfiction'],,,en
Oh Say Can You Say Di-no-saur? All About Dinosaurs (The Cat in the Hat's Learning Library),Oh Say Can You Say Di-no-saur? All About Dinosaurs,['Bonnie Worth'],Random House Books for Young Readers,2019-06-18,"Laugh and learn with fun facts about dinosaurs like Tyrannosaurus rex, Apatosaurus, Triceratops, and more—all told in Dr. Seuss’s beloved rhyming style and starring The Cat in the Hat! “I’m the Cat in the Hat (you have met me before). Today I will speak of the great dinosaur!” The Cat in the Hat’s Learning Library series combines beloved characters, engaging rhymes, and Seussian illustrations to introduce children to non-fiction topics from the real world! In this positively prehistoric adventure, readers will learn: • how fossils are formed and found • what different dinosaurs ate • how to pronounce tricky dinosaur names • and much more! Perfect for story time and for the youngest readers, Oh Say Can You Say Di-no-saur also includes an index, glossary, and suggestions for further learning. Look for more books in the Cat in the Hat’s Learning Library series! Cows Can Moo! Can You? All About Farms Hark! A Shark! All About Sharks If I Ran the Dog Show: All About Dogs On Beyond Bugs! All About Insects One Vote Two Votes I Vote You Vote There’s No Place Like Space: All About Our Solar System Who Hatches the Egg? All About Eggs Why Oh Why Are Deserts Dry? All About Deserts Wish for a Fish: All About Sea Creatures",25.0,BOOK,['Juvenile Nonfiction'],,,en
"I Survived the Eruption of Mount St. Helens, 1980 (I Survived #14) (14)","I Survived the Eruption of Mount St. Helens, 1980 (I Survived #14)",['Lauren Tarshis'],Scholastic Inc.,2016-08-30,"The mountain exploded with the power of ten million tons of dynamite... Eleven-year-old Jessie Marlowe has grown up with the beautiful Mount St. Helens always in the background. She's hiked its winding trails, dived into its cold lakes, and fished for trout in its streams. Just looking at Mount St. Helens out her window made Jess feel calm, like it was watching over her somehow. Of course, she knew the mountain was a volcano...but not the active kind, not a volcano that could destroy and kill!Then Mount St. Helens explodes with unimaginable fury. Jess suddenly finds herself in the middle of the deadliest and most destructive volcanic event in U.S. history. Ash and rock are spewing everywhere. Can Jess escape in time?The newest book in the I Survived series will take readers into one of the most environmentally devastating events in recent U.S. history.",86.0,BOOK,['Juvenile Fiction'],5.0,4.0,en
God Gave Us Easter (God Gave Us Series),God Gave Us You,['Lisa Tawn Bergren'],WaterBrook,2011-07-19,"ECPA BESTSELLER • When a charming polar bear cub climbs into bed one night, she asks her Mama a very important question, one that little “human cubs” often wonder about, too: “Where did I come from?”—part of the bestselling God Gave Us series, with more than 5 million books sold! As Mama bear tucks her youngest cub under the quilts, she gently, tenderly, and reassuringly communicates the message loving parents everywhere (bears and non-bears alike) want their little ones to hear: ""We wanted you very, very much, and we are so very glad because—God gave us you."" Perfect for bedtime, naptime, storytime or anytime, God Gave Us You provides a valuable opportunity to build children's self-esteem every day and assure each one that he or she truly is a welcomed, precious, and treasured gift from the Lord. Also available in the God Gave Us series: God Gave Us Two God Gave Us Christmas God Gave Us Heaven God Gave Us Love God Gave Us So Much",22.0,BOOK,['Juvenile Fiction'],,,en
Dragons Love Farts: They're More Fun Than Tacos!,Dragons Love Tacos 2: The Sequel,['Adam Rubin'],Penguin,2017-05-02,"The hilarious sequel to the smokin’ hot New York Times best seller, perfect for story time News alert! It has just been discovered that there are NO MORE TACOS left anywhere in the world. This is a huge problem because, as you know, dragons love tacos. If only there was a way for the dragons to travel back in time, to before tacos went extinct. Then they could grab lots of tacos and bring them back! It’s the perfect plan, as long as there’s no spicy salsa. You remember what happened last time . . . The award-winning creators of Robo-Sauce and Secret Pizza Party return with a gut-bustingly hilarious companion to the bestselling phenomenon Dragons Love Tacos.",49.0,BOOK,['Juvenile Fiction'],,,en
James and the Giant Peach,James and the Giant Peach,['Roald Dahl'],Penguin,2007-08-16,"From the World's No. 1 Storyteller, James and the Giant Peach is a children's classic that has captured young reader's imaginations for generations. One of TIME MAGAZINE’s 100 Best Fantasy Books of All Time After James Henry Trotter's parents are tragically eaten by a rhinoceros, he goes to live with his two horrible aunts, Spiker and Sponge. Life there is no fun, until James accidentally drops some magic crystals by the old peach tree and strange things start to happen. The peach at the top of the tree begins to grow, and before long it's as big as a house. Inside, James meets a bunch of oversized friends—Grasshopper, Centipede, Ladybug, and more. With a snip of the stem, the peach starts rolling away, and the great adventure begins! Roald Dahl is the author of numerous classic children’s stories including Charlie and the Chocolate Factory, Matilda, The BFG, and many more! “James and the Giant Peach remains a favorite among kids and parents alike nearly 60 years after it was first published, thanks to its vivid imagery, vibrant characters and forthright exploration of mature themes like death and hope.” —TIME Magazine",177.0,BOOK,['Juvenile Fiction'],,,en
Where Hands Go: The Power of No,WHERE IS YOUR FAITH?,['Dr. D. K. Olukoya'],Mountain of Fire and Miracles Ministries,2015-11-18,"Where is your Faith? Where is your faith? is a primer on victorious Christian living. The power of faith is highlighted, its benefits itemized and its indispensable nature emphasized. This book will boost your faith and equip you adequately to challenge the enemy. This is your weapon for winning the battles of life",52.0,BOOK,['Religion'],,,en
The Very Hungry Caterpillar's Forest Hide & Seek: A Finger Trail Lift-the-Flap Book (The World of Eric Carle),The Very Hungry Caterpillar's Jungle Hide & Seek,['Eric Carle'],Penguin Group,2025-02-25,"The Very Hungry Caterpillar plays hide-and-seek in this joyful finger trail lift-the-flap book set in the jungle! Who lives beside the monkeys, swinging through the trees? It's someone slow and sleepy…a sloth who hangs with ease! Play hide-and-seek with The Very Hungry Caterpillar in this interactive board book with indented trails for fingers to follow, and flaps to lift! With a gentle rhyming narrative and an introduction to jungle friends, this book is perfect for little explorers.",11.0,BOOK,['Juvenile Fiction'],,,en
Cats Don't Like That!: A Hilarious Children's Book For Kids Ages 3-7 (Cats Don't Like!),Cats Don't Like Christmas!,['Andy Wortlock'],Cats Don't Like!,2022-09-06,"Our adorable little cat is back this Christmas and there might be a little too much fuss this holiday season. For little and big readers, this is the funny, festive, companion to the award winning, Cats Don't Like That!",0.0,BOOK,['Juvenile Fiction'],,,en
Commotion in the Ocean,Commotion in the Ocean,['Giles Andreae'],,1998,"A collection of poems about the many creatures living beneath the sea, including the crab, dolphin, and angel fish.",32.0,BOOK,['Juvenile Nonfiction'],,,en
The New Baby,The New Baby,['Mercer Mayer'],Random House (NY),1984-12,"In this well-loved Little Critter picture book, our funny young hero has to get used to a new baby sister. What a problem. The baby doesn't pay attention when Little Critter reads to her. She cries when he makes silly faces. And she can't understand the jokes he tells. It's seems like an impossible task, but Little Critter finally figures out what you CAN do with a new baby -- and becomes a very good brother.",32.0,BOOK,"[""Children's stories, American""]",3.0,1.0,en
The Charitable Try: Pass the Ball of Generosity with Leslie the Lacrosse Player (The Young Money All-Stars Series),,,,,,,,,,,
My Friend John,John Muir: The Story of My Boyhood and Youth & Letters to a Friend,['John Muir'],Good Press,2024-01-09,"In 'John Muir: The Story of My Boyhood and Youth & Letters to a Friend', John Muir shares his personal journey and experiences growing up in 19th-century Scotland before immigrating to America. His writing style is characterized by vivid descriptions of nature and a deep appreciation for the wilderness, reflecting the Romantic movement of his time. The book not only chronicles Muir's adventurous youth but also includes letters written to a friend that offer insights into his thoughts on nature preservation and conservation. Muir's reverence for the natural world shines through in his eloquent prose, making this work a classic in environmental literature. As a founding figure of the conservation movement, Muir's writings continue to inspire readers to appreciate and protect the natural world. 'John Muir: The Story of My Boyhood and Youth & Letters to a Friend' is a must-read for anyone interested in environmentalism, nature writing, and the life of this influential figure.",213.0,BOOK,['Nature'],,,en
Coloring the Rainbow: A Story about the Power of Connection,Shades of the Rainbow Coloring Book,['Activity Book Zone for Kids'],Activity Book Zone for Kids,2016-07-21,Just because the title says shades of the rainbow doesn't mean that your child should only stick to the use of rainbow colors. Where's the freedom in that? Coloring for kids should be about the freedom to think and create. It should be about the non-restrictive aspect of choosing colors and then mix and matching them. What wonderful art would your child be creating today?,,BOOK,[],,,en
The Enchanted Post: Letters To Santa Claus,The Rattle of Theta Chi,[],Theta Chi Fraternity Inc,1952,,36.0,BOOK,[],,,en
Around the World: Keo Fights for Freedom — Hong Kong,"Today Hong Kong, Tomorrow the World",['Mark L. Clifford'],St. Martin's Press,2022-02-01,"A gripping history of China's deteriorating relationship with Hong Kong, and its implications for the rest of the world. For 150 years as a British colony, Hong Kong was a beacon of prosperity where people, money, and technology flowed freely, and residents enjoyed many civil liberties. In preparation for handing the territory over to China in 1997, Deng Xiaoping promised that it would remain highly autonomous for fifty years. An international treaty established a Special Administrative Region (SAR) with a far freer political system than that of Communist China—one with its own currency and government administration, a common-law legal system, and freedoms of press, speech, and religion. But as the halfway mark of the SAR’s lifespan approaches in 2022, it is clear that China has not kept its word. Universal suffrage and free elections have not been instituted, harassment and brutality have become normalized, and activists are being jailed en masse. To make matters worse, a national security law that further crimps Hong Kong’s freedoms has recently been decreed in Beijing. This tragic backslide has dire worldwide implications—as China continues to expand its global influence, Hong Kong serves as a chilling preview of how dissenters could be treated in regions that fall under the emerging superpower’s control. Today Hong Kong, Tomorrow the World tells the complete story of how a city once famed for protests so peaceful that toddlers joined grandparents in millions-strong rallies became a place where police have fired more than 10,000 rounds of tear gas, rubber bullets and even live ammunition at their neighbors, while pro-government hooligans attack demonstrators in the streets. A Hong Kong resident from 1992 to 2021, author Mark L. Clifford has witnessed this transformation firsthand. As a celebrated publisher and journalist, he has unrivaled access to the full range of the city’s society, from student protestors and political prisoners to aristocrats and senior government officials. A powerful and dramatic mix of history and on-the-ground reporting, this book is the definitive account of one of the most important geopolitical standoffs of our time.",237.0,BOOK,['Political Science'],,,en
Ode to a Pug,Ode to a Pug,['Jill Rosen'],,2024-02-15,"A precocious pug delights in shenanigans which drive her frazzled owner to declare she will give her pup away! Laugh along with the snorting, snoring and gaseous clown of the canine world as its owner struggles to reign in the messes and mayhem of a new addition. But there is nothing that a few licks and cuddles can't fix, right? A true delight that any family can relate to, Ode to a Pug is full of heart... and a lot of slobber.",0.0,BOOK,[],,,en
Rosie's Wild Ride: Chasing Big Rodeo Dreams,Rosie's Wild Ride,['Paige Murray'],,2024-10-08,"From Paige Murray, debut author and wife of 9-time World Champion Cowboy Ty Murray, comes a rodeo adventure for every child (and horse) who has big dreams and dares to ask, ""What if I can?""",0.0,BOOK,['Juvenile Fiction'],,,en
Little Critter: Just a Little Music,Little Critter: Just a Little Music,['Mercer Mayer'],Harper Collins,2009-12-22,"Little Critter has a musical hobby . . . and it's noisy! He's excited about his new drums, and this means playing them everywhere. But Little Critter soon realizes that he might need just a few more lessons before he's ready for his own rock-and-roll band!",31.0,BOOK,['Juvenile Fiction'],,,en
Notes From Jesus: What Your New Best Friend Wants You to Know,Notes From Jesus,['Mikal Keefer'],"Group Publishing, Inc.  ",2018-02-01,"Jesus is the stuff best friends are made of—especially if you’re a kid! He’s always up for hearing how the day went, listening to worries, and laughing at silly jokes. And he wants to share about himself, too, as best friends do. Notes From Jesus contains his messages to new friends. Each playfully illustrated note includes: • Answers to common faith questions kids ask, such as ‘‘What happens when I mess up?” and “Is it okay to pray with my eyes open?” • An inspirational Bible verse for kids to tuck away in their hearts • Doable, kid-sized ideas for readers to become even better friends with Jesus Perfect for kids age 6+ who are just starting to get to know Jesus.",66.0,BOOK,['Juvenile Nonfiction'],,,en
Lola at the Library (Lola Reads),Lola at the Library,"['Anna McQuinn', 'Rosalind Beardshaw']",Perfection Learning,2006-07-01,"Every Tuesday, Lola and her mother visit their local library to return and check out books, attend story readings, and share a special treat.",22.0,BOOK,['Juvenile Fiction'],,,en
The Book of Cultures: 30 stories to discover the world (diverse book for children),The Book of Cultures,"['Evi Triantafyllides', 'Nefeli Malekou']",Penguin Random House India Private Limited,2021-07-12,"EXPLORE THE CULTURES OF THE WORLD! Meet buddies from different parts of our planet and go on adventures near and far with 30 stories bursting with intrigue, curiosity and wonder! Travel from Japan to Peru and South Africa to Denmark, and learn about diverse cultures, customs, traditions and more in one handy, charmingly illustrated volume. - A magical, educational experience for young readers to discover the differences that make our planet so special, but also to uncover the similarities we often overlook - Fictional plots of kids from different countries capture the imagination of little readers and allow them to experience the world beyond themselves, developing compassion and empathy - Every story is accompanied by a 2-page snapshot of that country's culture, filled with fun facts and engaging activities, such as puzzles, songs and recipes",270.0,BOOK,['Juvenile Nonfiction'],,,en
Hop on Pop: The Simplest Seuss for Youngest Use,Hop on Pop,['Dr. Seuss'],Random House Books for Young Readers,2015-04-14,"Introduce children to Dr. Seuss’s wonderfully witty wordplay with this classic rhyming picture book, known as “the simplest Seuss for youngest use.” This board book edition features abridged text for the littlest reader. HOP POP We like to hop. We like to hop on top of Pop. See Red and Ned and Ted and Ed in a bed. And giggle as Pat sits on a hat and on a cat and on a bat...but a cactus? Pat must NOT sit on that! Full of short, simple words and silly rhymes, the rollicking rhythm of Hop on Pop will keep children of all ages entertained throughout. Big Bright and Early Board Books are super sturdy, simplified board book editions of classic Bright and Early and Beginner Books, available in a bigger size for smaller hands!",24.0,BOOK,['Juvenile Fiction'],4.0,1.0,en
"Martin Luther King, Jr. (National Geographic Kids Readers, Level 3)","National Geographic Readers: Martin Luther King, Jr.",['Kitson Jazynka'],National Geographic Books,2012-12-26,"The most effective method used to influence children to read is to incorporate the information that interests them the most. National Geographic Readers are educational, high-interest, and comprehensive for children. In this title, readers will learn about the fascinating life and legacy civil rights leader Dr. Martin Luther King, Jr. In this level three biography, difficult concepts are made understandable and transitioned into a more approachable manner. This includes the use of sidebars, timetables, diagrams and fun facts to hold the interest of the young reader. The colorful design and educational illustrations round out this text as an exemplary book for their young minds to explore. National Geographic supports K-12 educators with ELA Common Core Resources. Visit www.natgeoed.org/commoncore for more information.",52.0,BOOK,['Juvenile Nonfiction'],,,en
Tyrannosaurus Rex (StoryBots) (Step into Reading),Tyrannosaurus Rex,"['JibJab Bros Studios', 'Scott Emmons']",Random House Books for Young Readers,2017,"Fans of the wacky robots from the award-winning apps, videos, and Netflix show, ""Ask the StoryBots, "" are sure to recognize the colorful art from the hugely popular dinosaur video ""Tyrannosaurus Rex"" on YouTube. Full color.",0.0,BOOK,['Dinosaurs'],,,en
"Arnie, the Doughnut (The Adventures of Arnie the Doughnut, 1)",Arnie the Doughnut,['Laurie Keller'],,2006,"Arnie the talking doughnut convinces Mr. Bing that not all doughnuts are meant to be eaten. A deliciously imaginative story about friendship--from the author/illustrator of The Scrambled States of America. Arnie was fascinated as he watched the customers stream into the bakery. One by one, doughnuts were chosen, placed in paper bags, and whisked away with their new owners. Some went by the dozen in giant boxes. ""Good-bye!"" Arnie yelled to each doughnut. ""Have a good trip!"" ""This is so exciting!"" Arnie beamed. ""I wonder who will choose ME?"" At first glance, Arnie looks like an average doughnut-round, cakey, with a hole in the middle, iced and sprinkled. He was made by one of the best bakeries in town, and admittedly his sprinkles are candy-colored. Still, a doughnut is just a doughnut, right? WRONG! Not if Arnie has anything to say about it. And, for a doughnut, he sure seems to have an awful lot to say. Can Arnie change the fate of all doughnuts--or at least have a hand in his own future? Well, you'll just have to read this funny story and find out for yourself.",44.0,BOOK,['JUVENILE FICTION'],,,en
Happy Pi Day to You! All About Measuring Circles (The Cat in the Hat's Learning Library),Happy Pi Day to You! All About Measuring Circles,['Bonnie Worth'],Random House Books for Young Readers,2020-02-04,"Laugh and learn with fun facts about the history of pi, measurements, theorems, and more—all told in Dr. Seuss’s beloved rhyming style and starring the Cat in the Hat! “It is all about circles and measuring fun. So put on your Pi Hats! Let’s start, everyone!” The Cat in the Hat’s Learning Library series combines beloved characters, engaging rhymes, and Seussian illustrations to introduce children to non-fiction topics from the real world! Go on an adventure with the Cat in the Hat and learn: how to measure and draw circles how pi is a number so long that it never ends how Ancient Egyptians used pi to help build the pyramids and much more! Perfect for story time and for the youngest readers, Happy Pi Day to You! All About Measuring Circles also includes an index, glossary, and suggestions for further learning. Look for more books in the Cat in the Hat’s Learning Library series! High? Low? Where Did It Go? All About Animal Camouflage Is a Camel a Mammal? All About Mammals The 100 Hats of the Cat in the Hat: A Celebration of the 100th Day of School A Great Day for Pup: All About Wild Babies Would You Rather Be a Pollywog? All About Pond Life I Can Name 50 Trees Today! All About Trees Fine Feathered Friends: All About Birds My, Oh My--A Butterfly! All About Butterflies Oh Say Can You Seed? All About Flowering Plants Inside Your Outside! All About the Human Body Ice is Nice! All About the North and South Poles",24.0,BOOK,['Juvenile Nonfiction'],,,en
"Kindergarten, Here I Come!","Kindergarten, Here I Come!",['D.J. Steinberg'],Penguin,2012-06-14,"Get ready for school with these fun poems! This adorable picture book celebrates all the familiar milestones and moments shared by every single kindergartener. Whether it's the first-day-of-school jitters or the hundredth-day-of-school party, every aspect of the kindergarten experience is introduced with a light and funny poem--not to mention charming illustrations.",40.0,BOOK,['Juvenile Fiction'],,,en
"The Little Mouse, the Red Ripe Strawberry, and the Big Hungry Bear","The Little Mouse, the Red Ripe Strawberry, and the Big Hungry Bear",['Audrey Wood'],Clarion Books,2020,"Little Mouse worries that the big, hungry bear will take his freshly picked, ripe, red strawberry for himself.",35.0,BOOK,['Juvenile Fiction'],,,en
Puddles Gets a New Home,Isabel Puddles Abroad,['M.V. Byrne'],Kensington Cozies,2022-11-29,"Feisty senior sleuth Isabel Puddles—Lake Michigan’s answer to Miss Marple—strikes out for new territory across the pond in the newest cozy mystery by veteran TV writer M.V. Byrne. Full of charm, rich storytelling, and mellow humor, the Mitten State Mysteries are sure to delight fans of Garrison Keillor’s Lake Wobegone tales, Jessica Fletcher and Lee Hollis’s Poppy Harmon series. Isabel has crafted a life she loves in her Lake Michigan hometown, but she’s eager to use her golden years to make up for missed opportunities. That’s why she’s traveling to England for the first time to visit her pen pal, Teddy Mansfield, an acclaimed mystery writer who lives just outside the village of Mousehole, Cornwall. First impressions are charming—Isabel is staying in the guest cottage on the grounds of Teddy’s beautiful country manor, and Mousehole is home to an assortment of characters as colorful as any in Teddy’s books. Teddy’s housekeeper, Tuppence, is a dab hand at baking—her scones are regularly runner-up in the village bake-off, and this year she’s determined to scoop top prize. But it appears that other, possibly more dangerous rivalries have been brewing in Mousehole. And when a resident is found pushing up daisies in a flowerbed, Isabel is drawn into an investigation that will require all of her newly honed skills to solve—and to survive . . .",305.0,BOOK,['Fiction'],,,en
"""The Paci Fairy®"" Toddler Edition (""The Paci Fairy Series"" Book 2)",Post-Colonial and African American Women's Writing,['Gina Wisker'],Bloomsbury Publishing,2017-03-04,"This accessible and unusually wide-ranging book is essential reading for anyone interested in postcolonial and African American women's writing. It provides a valuable gender and culture inflected critical introduction to well established women writers: Toni Morrison, Alice Walker, Margaret Atwood, Suniti Namjoshi, Bessie Head, and others from the U.S.A., India, Africa, Britain, Australia, New Zealand and introduces emergent writers from South East Asia, Cyprus and Oceania. Engaging with and clarifying contested critical areas of feminism and the postcolonial; exploring historical background and cultural context, economic, political, and psychoanalytic influences on gendered experience, it provides a cohesive discussion of key issues such as cultural and gendered identity, motherhood, mothertongue, language, relationships, women's economic constraints and sexual politics.",380.0,BOOK,['Literary Criticism'],,,en
Dot and the Dog-Walking Disaster: Giggle Girls Series Book 3,,,,,,,,,,,
"365 Bible Stories and Prayers Padded Treasury - Gift for Easter, Christmas, Communions, Baptism, Birthdays (Little Sunbeams)",God Is Good,['Ginger Swift'],,2020-12-15,,10.0,BOOK,[],,,en
Broken Crayons Still Color,Broken Crayons Still Color,"['Toni Collier', 'Whitney Bak']",Tommy Nelson,2023-08-22,"Help your kids process big feelings, build a social-emotional tool kit, and find beauty in life's challenges with this creative story that expresses the hope of the gospel from podcast host, speaker, and mom Toni Collier. Avery has big emotions and bubbling anxieties about changes in her life. When her crayons break as she scribbles furiously, she discovers that they have personalities and feelings too! And they can show her how to use her love of coloring to manage scary, overwhelming feelings and embrace curiosity and joy. As Avery follows the crayons' advice, gets creative, and chooses bravery and positive thinking, she discovers that God can use her to make beautiful things, even with broken crayons. In Broken Crayons Still Color, children 4 to 8 will see that everyone feels frustrated and overwhelmed at times learn to express emotions and explore creativity practice coping skills, such as drawing worries, affirmations, and breathing understand that God loves them just as they are and He can turn their mistakes and weaknesses into beautiful new things This illustrated picture book includes an inventive illustration style that models to children how to draw their own feelings an emotion color chart to guide children in identifying how they feel With a fun story, silly crayon characters, and practical guidance for kids struggling with powerful emotions, insecurity, and perfectionism, Broken Crayons Still Color will entertain children as it assures them that God is making a beautiful masterpiece out of things they thought were broken. The presentation page and deluxe dust jacket make this encouraging book a beautiful gift for back-to-school, kids facing new experiences and tough situations, and any child with big feelings.",40.0,BOOK,['Juvenile Fiction'],,,en
Welcome Little One: The Perfect Baby Shower and Newborn Gift! (Welcome Little One Baby Gift Collection),Welcome Little One Baby's First Year Wall Calendar,['Sandra Magsamen'],Sourcebooks Wonderland,2021-02,"For parents, the arrival of a newborn child is an event that offers the promise of never-ending love and the first of many special milestone moments. Create a heartfelt record of your little one's first year and remember the moments you'll treasure forever.This groundbreaking new product from Sandra Magsamen is the perfect pairing with USA Todaybestseller Welcome Little One. Made with consumers in mind, the undated keepsake combines all the benefits of baby record books with an easy, stress-free format parents will actually use and cherish for years to come.Features include:* 11x10 hardcover slipcase to protect on a shelf* Internal spiral binding with sturdy holes for hanging* 13 undated grids from birth to one year* Stress-free reflection prompts all year* Space for photographs and other memorabilia* 4 pages of stickers for milestone firsts, holidays, and sweet and silly moments to remember* 1-12 month onesie stickers",40.0,BOOK,[],,,en
"Polar Bear, Polar Bear, What Do You Hear? (Brown Bear and Friends)","Polar Bear, Polar Bear, What Do You Hear? 20th Anniversary Edition with CD","['Bill Martin, Jr.']",Macmillan,2011-10-25,"Zoo animals from polar bear to walrus make their distinctive sounds for each other, while children imitate the sounds for the zookeeper.",34.0,BOOK,['Juvenile Fiction'],,,en
"Goodnight Moon/Buenas noches, Luna: Bilingual English-Spanish","Buenas Noches, Luna",['Margaret Wise Brown'],Harper Collins,2008-03-18,A little bunny counts all the objects in his room before falling asleep.,32.0,BOOK,['Juvenile Nonfiction'],,,en
Let's Go to the Potty!: A Potty Training Book for Toddlers,Let's Go to the Potty!,['Allison Jandu'],"Sourcebooks, Inc.",2020-10-27,"A fun and illustrated story helps kids ages 1 to 3 use the potty with confidence! Provide your toddler with the gentle support and encouragement they need during potty training. Let's Go to the Potty is an engaging, story-driven guide for toddlers who are ready to break free from diapers. Playful pictures help them understand what potty training will look and feel like, and a short, rhyming potty song teaches them how to talk to you about their potty needs. Let's Go to the Potty is not just another potty book, but a comprehensive guide to help kids make the transition to using the potty with ease and confidence. It ensures the journey from diapers to potty is a fun-filled adventure. Made for toddlers—Get toddlers involved in in the potty-training process with easy-to-understand, kid-friendly language and illustrations. On-the-job potty training—Your little one can enjoy this book while on the potty, helping them develop positive feelings about the potty and reinforce their learning. Support for all toddlers—This inclusive, gender-neutral approach to toddler potty books makes it easy for any toddler to see themselves in the story. Watch diapers fall by the wayside thanks to one of the best potty-training books for toddlers.",50.0,BOOK,['Juvenile Nonfiction'],,,en
Robert the Rose Horse,Robert the Rose Horse,['Joan Heilbroner'],HarperCollins Publishers,1992,Robert's allergy to roses causes him to lose many jobs until one day a giant sneeze brings him good fortune.,64.0,BOOK,['Allergy'],,,en
My Mouth Is A Volcano: A Picture Book About Interrupting,My Mouth is a Volcano,['Julia Cook'],National Center for Youth Issues,2005-01-01,"Teaching children how to manage their thoughts and words without interrupting. Louis always interrupts! All of his thoughts are very important to him, and when he has something to say, his words rumble and grumble in his tummy, they wiggle and jiggle on his tongue and then they push on his teeth, right before he ERUPTS (or interrupts). His mouth is a volcano! But when others begin to interrupt Louis, he learns how to respectfully wait for his turn to talk. My Mouth Is A Volcano takes an empathetic approach to the habit of interrupting and teaches children a witty technique to help them manage their rambunctious thoughts and words. Told from Louis' perspective, this story provides parents, teachers, and counselors with an entertaining way to teach children the value of respecting others by listening and waiting for their turn to speak.",33.0,BOOK,['Juvenile Fiction'],,,en
Telaraña de Carlota: A Newbery Honor Award Winner (Spanish Edition),,,,,,,,,,,
The ABCs of Black History (The ABCs of History),The ABCs of Black History,['Rio Cortez'],Workman Publishing Company,2020-12-08,"A NEW YORK TIMES BESTSELLER B is for Beautiful, Brave, and Bright! And for a Book that takes a Bold journey through the alphabet of Black history and culture. Letter by letter, The ABCs of Black History celebrates a story that spans continents and centuries, triumph and heartbreak, creativity and joy. It’s a story of big ideas––P is for Power, S is for Science and Soul. Of significant moments––G is for Great Migration. Of iconic figures––H is for Zora Neale Hurston, X is for Malcom X. It’s an ABC book like no other, and a story of hope and love. In addition to rhyming text, the book includes back matter with information on the events, places, and people mentioned in the poem, from Mae Jemison to W. E. B. Du Bois, Fannie Lou Hamer to Sam Cooke, and the Little Rock Nine to DJ Kool Herc.",66.0,BOOK,['Juvenile Nonfiction'],,,en
Can I Be Your Dog?,Can I Be Your Dog?,['Troy Cummings'],Dragonfly Books,2022-02-08,"A heart-tugging dog adoption story told through letters from a dog as he seeks a forever home! The New York Times bestselling picture book that was featured on THE TODAY SHOW is now in paperback! Arfy is a homeless mutt who lives in a box in an alley. Arfy writes to every person on Butternut Street about what a great pet he'd make. His letters to prospective owners share that he's house broken! He has his own squeaky bone! He can learn to live with cats! But, no one wants him. Won't anyone open their heart--and home--to a lonesome dog? Readers will be happily surprised to learn just who steps up to adopt Arfy. Troy Cummings's hilarious and touching story is a perfect gift for a child wanting a dog, and for pet adoption advocates. It also showcases many different styles of letter writing, making it appealing to parents and teachers looking to teach the lost art of written communication. ""It's an instant classic in our household."" --#1 New York Times bestselling author Sarah J. Maas",41.0,BOOK,['Juvenile Fiction'],,,en
Who Is Jesus? (Little Blessings),Who Is Jesus?,['Kathleen Long Bostrom'],"Tyndale House Publishers, Inc.",2012-03,"The Little Blessings characters by illustrator Elena Kucharik return for the second book in the Questions from Little Hearts series, Who Is Jesus? This book of full-color contemporary illustrations for three- to six-year-olds contains questions that kids might ask about Jesus. Each answer is worded as if Jesus himself were speaking and is based on what Scripture teaches us about God's Son.",33.0,BOOK,['Juvenile Nonfiction'],,,en
Sundays with Grandma,700 Sundays,['Billy Crystal'],Grand Central Publishing,2006-10-24,"To support his family, Billy Crystal's father, Jack, worked two jobs, having only one day a week to spend with his family. Based on Crystal's one-man Broadway show of the same name, ""700 Sundays""--referring sadly to the time shared by an adoring father and his devoted son--offers a heartfelt, hilarious memoir.",94.0,BOOK,['Biography & Autobiography'],,,en
